text,intent
"Открой диалог с моим другом-активистом.
",open
"Запусти чат с моими друзьями из благотворительной сферы.
",open
"Открой сообщения от моего друга-политического аналитика.
",open
"Запусти чат с моими друзьями из журналистской сферы.
",open
"Открой диалог с моим другом-интернет-маркетологом.
",open
"Запусти чат с моими друзьями из рекламной индустрии.
",open
"Открой сообщения от моего друга-медийного директора.
",open
"Запусти чат с моими друзьями из PR-сферы.
",open
"Открой диалог с моим другом-блогером.
",open
"Запусти чат с моими друзьями из социальной сферы.
",open
"Открой сообщения от моего друга-лайфкоуча.
",open
"Запусти чат с моими друзьями из психологической сферы. #243
",open
"Открой мессенджер
",open
"Запусти приложение для общения
",open
"Запусти чат
",open
"Открой окно чата
",open
"Открой диалоги
",open
"Открой список контактов
",open
"Открой главное меню мессенджера
",open
"Запусти функцию голосового поиска контакта
",open
"Открой групповой чат
",open
"Запусти функцию голосового поиска группы
",open
"Открой чат с пользователем
",open
"Запусти функцию голосового поиска сообщения
",open
"Открой чат с голосовым управлением
",open
"Запусти функцию голосового поиска чата
",open
"Открой настройки
",open
"Запусти функцию голосового поиска настроек
",open
"Открой раздел настроек профиля
",open
"Запусти функцию голосового поиска профиля
",open
"Открой раздел настроек конфиденциальности
",open
"Запусти функцию голосового поиска конфиденциальности
",open
"Открой раздел настроек уведомлений
",open
"Запусти функцию голосового поиска уведомлений
",open
"Открой раздел настроек звука
",open
"Запусти функцию голосового поиска звука
",open
"Открой раздел настроек интерфейса
",open
"Запусти функцию голосового поиска интерфейса
",open
"Открой раздел настроек языка
",open
"Запусти функцию голосового поиска языка
",open
"Открой раздел настроек общих настроек
",open
"Запусти функцию голосового поиска общих настроек
",open
"Открой раздел настроек безопасности
",open
"Запусти функцию голосового поиска безопасности
",open
"Открой раздел настроек сети
",open
"Запусти функцию голосового поиска сети
",open
"Открой раздел настроек учетной записи
",open
"Запусти функцию голосового поиска учетной записи
",open
"Открой раздел помощи
",open
"Запусти функцию голосового поиска помощи
",open
"Открой раздел поддержки
",open
"Запусти функцию голосового поиска поддержки
",open
"Открой раздел настроек экрана
",open
"Запусти функцию голосового поиска экрана
",open
"Открой раздел настроек аккаунта
",open
"Запусти функцию голосового поиска аккаунта
",open
"Открой раздел настроек приватности
",open
"Запусти функцию голосового поиска приватности
",open
"Открой раздел настроек пользователей
",open
"Запусти функцию голосового поиска пользователей
",open
"Открой раздел настроек групп
",open
"Запусти функцию голосового поиска групп
",open
"Открой раздел настроек сообщений
",open
"Запусти функцию голосового поиска сообщений
",open
"Открой раздел настроек чата
",open
"Запусти функцию голосового поиска чата
",open
"Открой раздел настроек уведомлений о сообщениях
",open
"Запусти функцию голосового поиска уведомлений о сообщениях
",open
"Открой раздел настроек уведомлений о звонках
",open
"Запусти функцию голосового поиска уведомлений о звонках
",open
"Открой раздел настроек уведомлений о встречах
",open
"Запусти функцию голосового поиска уведомлений о встречах
",open
"Открой раздел настроек уведомлений о напоминаниях
",open
"Запусти функцию голосового поиска уведомлений о напоминаниях
",open
"Открой раздел настроек уведомлений о задачах
",open
"Запусти функцию голосового поиска уведомлений о задачах
",open
"Открой раздел настроек уведомлений о событиях
",open
"Запусти функцию голосового поиска уведомлений о событиях
",open
"Открой раздел настроек уведомлений о новостях
",open
"Запусти функцию голосового поиска уведомлений о новостях
",open
"Открой раздел настроек уведомлений о скидках
",open
"Запусти функцию голосового поиска уведомлений о скидках
",open
"Открой раздел настроек уведомлений о рекламе
",open
"Запусти функцию голосового поиска уведомлений о рекламе
",open
"Открой раздел настроек уведомлений о погоде
",open
"Запусти функцию голосового поиска уведомлений о погоде
",open
"Открой раздел настроек уведомлений о транспорте
",open
"Запусти функцию голосового поиска уведомлений о транспорте
",open
"Открой раздел настроек уведомлений о финансах
",open
"Запусти функцию голосового поиска уведомлений о финансах
",open
"Открой раздел настроек уведомлений о спорте
",open
"Запусти функцию голосового поиска уведомлений о спорте
",open
"Открой раздел настроек уведомлений о здоровье
",open
"Запусти функцию голосового поиска уведомлений о здоровье
",open
"Открой раздел настроек уведомлений о кино
",open
"Запусти функцию голосового поиска уведомлений о кино
",open
"Открой раздел настроек уведомлений о музыке
",open
"Запусти функцию голосового поиска уведомлений о музыке
",open
"Открой раздел настроек уведомлений о книгах
",open
"Запусти функцию голосового поиска уведомлений о книгах
",open
"Открой раздел настроек уведомлений о еде
",open
"Запусти функцию голосового поиска уведомлений о еде
",open
"Открой раздел настроек уведомлений о путешествиях
",open
"Запусти функцию голосового поиска уведомлений о путешествиях
",open
"Открой раздел настроек уведомлений о специальных предложениях
",open
"Запусти функцию голосового поиска уведомлений о специальных предложениях #290
",open
"Открой мой чат с Джоном.
",open
"Запусти мой мессенджер.
",open
"Открой мои уведомления.
",open
"Запусти мой список контактов.
",open
"Открой мою главную страницу.
",open
"Запусти мой список сообщений.
",open
"Открой мои настройки уведомлений.
",open
"Запусти мои группы чатов.
",open
"Открой мои настройки профиля.
",open
"Запусти мою почту.
",open
"Открой мою папку входящих сообщений.
",open
"Запусти мой список заблокированных контактов.
",open
"Открой мой список любимых контактов.
",open
"Запусти мою поиск по сообщениям.
",open
"Открой мою страницу профиля.
",open
"Запусти мою страницу настроек.
",open
"Открой мой список сообщений о пропущенных звонках.
",open
"Запусти мою страницу контактов.
",open
"Открой мои настройки безопасности.
",open
"Запусти мою страницу уведомлений.
",open
"Открой мой список недавних контактов.
",open
"Запусти мой список полученных сообщений.
",open
"Открой мои настройки звука.
",open
"Запусти мои настройки видео-вызова.
",open
"Открой мой поиск по контактам.
",open
"Запусти мой список отправленных сообщений.
",open
"Открой мою страницу учетной записи.
",open
"Запусти мои настройки языка.
",open
"Открой мой список активных чатов.
",open
"Запусти мои настройки темы.
",open
"Открой мой список групповых чатов.
",open
"Запусти мои настройки учетной записи.
",open
"Открой мои настройки интерфейса.
",open
"Запусти мои настройки конфиденциальности.
",open
"Открой мои настройки уведомлений о звонках.
",open
"Запусти мою страницу помощи.
",open
"Открой мои настройки трансляции в реальном времени.
",open
"Запусти мои настройки видео-сообщений.
",open
"Открой мои настройки видео-звонков.
",open
"Запусти мои настройки перевода сообщений.
",open
"Открой мою страницу подписок.
",open
"Запусти мои настройки уведомлений о сообщениях.
",open
"Открой мою страницу платежей.
",open
"Запусти мою страницу магазина.
",open
"Открой мою страницу аккаунта.
",open
"Запусти мои настройки уведомлений о контактах.
",open
"Открой мои настройки уведомлений о группах.
",open
"Запусти мои настройки уведомлений о сообществах.
",open
"Открой мою страницу событий.
",open
"Запусти мои настройки уведомлений о событиях.
",open
"Открой мои настройки уведомлений о задачах.
",open
"Запусти мою страницу задач.
",open
"Открой мои настройки уведомлений о напоминаниях.
",open
"Запусти мои настройки уведомлений о календаре.
",open
"Открой мою страницу календаря.
",open
"Запусти мои настройки уведомлений о документах.
",open
"Открой мою страницу документов.
",open
"Запусти мои настройки уведомлений о файловых хранилищах.
",open
"Открой мою страницу файловых хранилищ.
",open
"Запусти мои настройки уведомлений о задачах.
",open
"Открой мою страницу задач.
",open
"Запусти мои настройки уведомлений о напоминаниях.
",open
"Открой мою страницу напоминаний.
",open
"Запусти мои настройки уведомлений о местоположении.
",open
"Открой мою страницу местоположения.
",open
"Запусти мои настройки уведомлений о поездках.
",open
"Открой мою страницу поездок.
",open
"Запусти мои настройки уведомлений о билетах.
",open
"Открой мою страницу билетов.
",open
"Запусти мои настройки уведомлений о покупках.
",open
"Открой мою страницу покупок.
",open
"Запусти мои настройки уведомлений о доставке.
",open
"Открой мою страницу доставки.
",open
"Запусти мои настройки уведомлений о рейтингах.
",open
"Открой мою страницу рейтингов.
",open
"Запусти мои настройки уведомлений о комментариях.
",open
"Открой мою страницу комментариев.
",open
"Запусти мои настройки уведомлений о рецензиях.
",open
"Открой мою страницу рецензий.
",open
"Запусти мои настройки уведомлений о курсах.
",open
"Открой мою страницу курсов.
",open
"Запусти мои настройки уведомлений о скидках.
",open
"Открой мою страницу скидок.
",open
"Запусти мои настройки уведомлений о новостях.
",open
"Открой мою страницу новостей.
",open
"Запусти мои настройки уведомлений о спорте.
",open
"Открой мою страницу спорта.
",open
"Запусти мои настройки уведомлений о погоде.
",open
"Открой мою страницу погоды.
",open
"Запусти мои настройки уведомлений о фильмах.
",open
"Открой мою страницу фильмов.
",open
"Запусти мои настройки уведомлений о книгах.
",open
"Открой мою страницу книг.
",open
"Запусти мои настройки уведомлений о музыке.
",open
"Открой мою страницу музыки.
",open
"Запусти мои настройки уведомлений о мероприятиях.
",open
"Открой мою страницу мероприятий.
",open
"Запусти мои настройки уведомлений о здоровье. #388
",open
"Запусти приложение для обмена сообщениями
",open
"Открой приложение для чата
",open
"Запусти приложение для общения
",open
"Открой приложение для обмена сообщениями с голосовым управлением
",open
"Запусти мессенджер с голосовым управлением
",open
"Открой мессенджер с голосовым управлением
",open
"Запусти приложение для обмена сообщениями голосом
",open
"Открой приложение для общения голосом
",open
"Запусти мессенджер голосом
",open
"Открой мессенджер голосом
",open
"Запусти приложение для обмена сообщениями с помощью голоса
",open
"Открой приложение для общения с помощью голоса
",open
"Запусти мессенджер с помощью голоса
",open
"Открой мессенджер с помощью голоса
",open
"Запусти приложение для обмена сообщениями голосовыми командами
",open
"Открой приложение для чата голосовыми командами
",open
"Запусти мессенджер голосовыми командами
",open
"Открой мессенджер голосовыми командами
",open
"Запусти приложение для обмена сообщениями голосовым управлением
",open
"Открой приложение для чата голосовым управлением
",open
"Запусти мессенджер голосовым управлением
",open
"Открой мессенджер голосовым управлением
",open
"Запусти приложение для обмена сообщениями с помощью голосового управления
",open
"Открой приложение для общения с помощью голосового управления
",open
"Запусти мессенджер с помощью голосового управления
",open
"Открой мессенджер с помощью голосового управления
",open
"Запусти приложение для обмена сообщениями голосовым вводом
",open
"Открой приложение для чата голосовым вводом
",open
"Запусти мессенджер голосовым вводом
",open
"Открой мессенджер голосовым вводом
",open
"Запусти приложение для обмена сообщениями с голосовым управлением и вводом
",open
"Открой приложение для общения с голосовым управлением и вводом
",open
"Запусти мессенджер с голосовым управлением и вводом
",open
"Открой мессенджер с голосовым управлением и вводом
",open
"Запусти приложение для обмена сообщениями голосовыми командами и вводом
",open
"Открой приложение для чата голосовыми командами и вводом
",open
"Запусти мессенджер голосовыми командами и вводом
",open
"Открой мессенджер голосовыми командами и вводом
",open
"Запусти приложение для обмена сообщениями с помощью голосового управления и ввода
",open
"Открой приложение для общения с помощью голосового управления и ввода
",open
"Запусти мессенджер с помощью голосового управления и ввода
",open
"Открой мессенджер с помощью голосового управления и ввода
",open
"Запусти приложение для обмена сообщениями голосовым вводом и управлением
",open
"Открой приложение для чата голосовым вводом и управлением
",open
"Запусти мессенджер голосовым вводом и управлением
",open
"Открой мессенджер голосовым вводом и управлением
",open
"Запусти приложение для обмена сообщениями голосом, используя управление
",open
"Открой приложение для общения голосом, используя управление
",open
"Запусти мессенджер голосом, используя управление
",open
"Открой мессенджер голосом, используя управление
",open
"Запусти приложение для обмена сообщениями с помощью голосового управления, используя голос
",open
"Открой приложение для общения с помощью голосового управления, используя голос
",open
"Запусти мессенджер с помощью голосового управления, используя голос
",open
"Открой мессенджер с помощью голосового управления, используя голос
",open
"Запусти приложение для обмена сообщениями голосовыми командами, используя голос
",open
"Открой приложение для чата голосовыми командами, используя голос
",open
"Запусти мессенджер голосовыми командами, используя голос
",open
"Открой мессенджер голосовыми командами, используя голос
",open
"Запусти приложение для обмена сообщениями с помощью голосового управления и ввода, используя голос
",open
"Открой приложение для общения с помощью голосового управления и ввода, используя голос
",open
"Запусти мессенджер с помощью голосового управления и ввода, используя голос
",open
"Открой мессенджер с помощью голосового управления и ввода, используя голос
",open
"Запусти приложение для обмена сообщениями голосовым вводом и управлением, используя голос
",open
"Открой приложение для чата голосовым вводом и управлением, используя голос
",open
"Запусти мессенджер голосовым вводом и управлением, используя голос
",open
"Открой мессенджер голосовым вводом и управлением, используя голос
",open
"Запустить мессенджер голосом
",open
"Запуск мессенджера голосом
",open
"Открыть мессенджер голосом #450
",open
"Открой мессенджер.
",open
"Запусти приложение для обмена сообщениями.
",open
"Открой приложение для общения.
",open
"Запусти мой любимый мессенджер.
",open
"Открой мессенджер, пожалуйста.
",open
"Запусти приложение для чата.
",open
"Открой приложение для обмена сообщениями со своими друзьями.
",open
"Запусти мой любимый чат.
",open
"Открой мессенджер для обмена сообщениями с коллегами.
",open
"Запусти приложение для общения с семьей и друзьями.
",open
"Открой мессенджер для обмена сообщениями со своими близкими.
",open
"Запусти приложение для обмена сообщениями в режиме онлайн.
",open
"Открой мессенджер для обмена сообщениями в любое время.
",open
"Запусти приложение для общения с новыми людьми.
",open
"Открой мессенджер для обмена сообщениями с новыми друзьями.
",open
"Запусти приложение для обмена сообщениями на работе.
",open
